Rank,ASIN,Image URL,Title,Best Seller Ranks,Currency,Price,Review Rating,Review Count,In-Stock,Purchase Limits,Feature Points,Brand,Seller,Store,Offers,Product Dimensions,Product Weight,Shipping Weight,Published At,FBA,Prime,Sponsored
11,B08DHHPNHP,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51-LIZRTduL._AC_UL320_.jpg,"Depuley 3 Licht Baum Stehlampe Retro Stehlampe mit E27 Glühbirne, Schwenkbare Stehleuchte mit 3-flammig, Metall Standleuchte Deckenfluter Schwarz, Lesen Standlampe für Wohnzimmer Schlafzimmer Büro","Beleuchtung: 25291
Standleuchten & Deckenfluter: 531",EUR,58.99,4.4,74.0,15.0,0.0,"🌳【Industrieller Retro-Stil】-Diese hohe 167mm LED-Stehlampe hat drei Schirme, Die Form und die Anordnung der Schirme lassen Assoziationen zum industriellen Stil aufkommen und machen die LED-Stehlampe zum idealen Beleuchtungsobjekt für einen Loft oder ähnliche Wohnobjekte.

🌳【Energiesparend & Augenfreundliche】-Unsere Stehlampe enthält eine E27 5-W-LED-Lampe, die 50.000 Stunden hält und 80% Energie spart. Es kann gleichmäßiges und weiches warmes Licht abgeben, ohne zu flackern, um Ihre Augen zu schützen.

🌳【Verstellbare Winkel & Stabil】- Es kann um 90 ° nach oben und unten einstellen, 350 ° nach links und rechts drehen. Die Innenseite der Schirme ist golden, so dass das Licht warm und gemütlich abgestrahlt wird, außen sind sie schwarz, wie auch das Gestell. Für eine besondere Standfestigkeit besteht der stabile Fuß aus schwerem Marmor.

🌳【Bequemer Fußschalter & Einfache Installation】-die Zuleitung fasst auch den Schalter, der gut mit dem Fuß bedient werden kann. erspart Ihnen das Bücken, um das Licht auszuschalten. Schonen Sie Ihre Hände, um alles zu tun, was Sie wollen. Und sehr einfach zu installieren.

👨‍💼【Hochwertiger Service:】-Wenn die Stehlampe kaputt ist, die Teile fehlen, die Lampe nicht eingeschaltet werden kann usw., können Sie sich sofort an uns wenden. Wir geben Ihnen eine zufriedenstellende Lösung. Ihre Zufriedenheit ist das Ziel, das wir verfolgt haben",Depuley,Vance Europe,Besuche den Depuley,,25t x 25b x 137.9h cm,4.49 kg,,2020-07-23,0.0,1.0,True
12,B08T6XTN51,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51CW0ECDMgL._AC_UL320_.jpg,"56W LED Pendelleuchte Pendellampe, KreativeLED Kronleuchtert, Dimmbar 3000K-6000K, Mit Speicherfunktion, 3 Ringe Φ 20+40+60cm, Modernes Hängeleuchten for Esszimmer, Wohnzimmer, Büro, Kücheninsel…","Beleuchtung: 13208
Hängeleuchten & Pendelleuchten: 423",EUR,103.33,4.4,89.0,19.0,0.0,"● Aussehen Design: Der Kronleuchter ist mit einer 3-Ring-Form ausgelegt, die Länge der Kette / Leitung (120 cm) kann entsprechend der Präferenz des Kunden eingestellt werden, um die Form des Kronleuchters zu ändern.

● Material: LED-Lampen (energiesparender als herkömmliche Deckenlampen), Aluminiumrahmen (erstreckt sich auf die Lebensdauer der Lampe, Korrosionsbeständigkeit und Rostverhütung), gleichzeitig wird ein hochwertiger Acryllampenschirm mit hoher Lichtdurchlässigkeit verwendet, weiche Beleuchtung, kein Blendung, kein Flimmern

● dimmbar: Der Kronleuchter kann von der Fernbedienung eingestellt werden, um die Helligkeit und 3 Farbtemperaturen einzustellen, um Ihre unterschiedlichen Anforderungen zu erfüllen (3000k warmweiß, 4000er neutrales Weiß, 6000k kaltweiß) und verfügt über einen Nachtlichtmodus

● Dimension: 3 Ringe, Φ 20 + 40 + 60 cm, 75w, 7500lm

● Anwendbarer Ort: Geeignet für Salon, Esszimmer, Schlafzimmer, Küche, Galeere, Studie, Büro, Tagungsraum, Restaurant, Hotel, Halle, Café, Bar, Laden, Haushalt, Innenlampe usw",KAUCQI,Kaucqi Direkt,,,60 x 60 x 120 cm,3 kilogramm,,2021-01-16,0.0,0.0,True
13,B09GPNXTW4,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61ctjbHcryL._AC_UL320_.jpg,bamyum Deckenlampe Wohnzimmer Ø 40 cm Vintage Esstischlampe Deko E27 Lampe Schlafzimmer Metall Pendelleuchte Wohnzimmer Lampenschirm Hängelampe Esstisch Wohnzimmerlampe,"Beleuchtung: 8940
Hängeleuchten & Pendelleuchten: 234",EUR,59.99,4.1,43.0,,,"🔰 Material & Farbe: Material der Deckenlampe Wohnzimmer ist Metall. Durchmesser ist 40 cm und Höhe der Vintage Lampshade ist 23 cm. Farbe der Handgemalte Wohnzimmerlampe ist antik Kupfer. Die Innenseite die Pendelleuchte ist Goldfarbe.

🔰 Technische Info: Fassung der Lampe Schlafzimmer ist E27 Deckenlampe, maximal 60 Watt, einschließlich Glühbirne: Nein. LED, Halogen und rustikale leuchten verwendet werden bei dieser Lampenschirm Hängelampe. Das Kabel der Hängelampe Esstisch hat eine Länge von 80 cm und kann beliebig gekürzt werden. Spannung die Pendelleuchte Wohnzimmer: 120-240V. Diese Esstischlampe kann mit Dimmer verwendet werden.

🔰 Vintage Stil und Höhe-Qualität: Der Kupferfarbe Lampenschirm besteht aus Metall Material, ist beständig gegen Verblassen, Rost und Korrosion und sorgt für eine Vielzahl emotionaler Atmosphären und eine bessere Beleuchtung

🔰 Weitere Verwendung: Große Kombination von Stil und Funktion, geben Sie Ihrem Raum einen völlig neuen Look mit unserer Pendelbeleuchtung, schön fügt sich in verschiedene Stile, einschließlich Vintage, Retro, Industrie, Bauernhaus, Land, Nordic, etc.

🔰 Einfach zu installieren & Kundenservice: Die Deckenlampe Wohnzimmer wird mit allen Installationsausrüstungen gesendet und die Installation der Esstischlampe ist sehr einfach. Wenn Sie Probleme oder Fragen mit der Lampenschirm Hängelampe haben, können Sie sich an unseren Kundenservice wenden und sofort eine Antwort erhalten!",bamyum,bamyum,Besuche den bamyum,,40l x 40b x 23h cm,1.26 kg,,2021-10-15,0.0,1.0,False
15,B0B1ZXWT88,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/710QPBNFylL._AC_UL320_.jpg,LED Kristall Kronleuchter Schwarz Modern Schlafzimmer Kristall Hängeleuchte Esstischlampen Pendelleuchte Runde Käfig E27 Für Badezimmer Korridor Bar Kaffee Wohnzimmer Beleuchtung,"Beleuchtung: 52293
Hängeleuchten & Pendelleuchten: 2516",EUR,89.99,1.5,2.0,,,"Designkonzept: Einfache Retro-Kristall-Pendelleuchte, verleiht Mode und Retro-Atmosphäre, einfache Struktur, perfekte Dekoration für die Heimeinrichtung.

Material: Metall+Kristall

Funktion: verstellbare Aufhängekette (20cm-60cm) Größe: Ø 30cm × H 105cm, Lichtquelle: E27 Sockel, kann LED, Glühlampe, Edison, Energiesparlampe empfehlen, maximale Leistung nicht über 40W (keine Lichtquelle)

Geeignet für: Esszimmer, Schlafzimmer, Wohnzimmer, Balkon, Flur, Arbeitszimmer, Café, Ausstellungshalle, Kinderzimmer usw.

KUNDENSERVICE ： Wir legen großen Wert auf die Zufriedenheit unserer Kunden | bei Fragen oder Anregungen freuen wir uns auf Ihre Nachricht",OURLOVEII,Chuan Wing Department Store,Besuche den OURLOVEII,,30.8 x 30.8 x 17.8 cm,2.71 kg,,2022-05-23,0.0,1.0,False
16,B09X39R4PP,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61D4uc9AQrL._AC_UL320_.jpg,"Lindby Pendelleuchte 'Elrond' (Landhaus, Vintage, Rustikal) aus Holz u.a. für Wohnzimmer & Esszimmer (4 flammig, E27) - Deckenlampe, Esstischlampe, Hängelampe, Hängeleuchte, Wohnzimmerlampe","Beleuchtung: 30029
Hängeleuchten & Pendelleuchten: 1393",EUR,99.9,4.0,2.0,,,"Erhalten Sie diese hochwertige Qualitätslampe vom namhaften Hersteller!

Die hochwertige Optik dieser Leuchte überzeugt in jedem Raum. Von Wohnzimmer über Esszimmer, Flur, Küche oder auch im Bad. Diese Lampe fügt sich perfekt in ihre Umgebung ein.

Gemütliche Atmosphäre: Mit dieser Lampe schaffen Sie in jedem Raum und zu allen Anlässen eine Wohlfühlatmosphäre der besonderen Art.

Geprüfte Qualität von Ihrem Experten. Bei Fragen zum Produkt wenden Sie sich gerne über unser Amazon-Händlerprofil direkt an uns.

Andere Kunden suchten auch nach: LED Lampe, Leuchte, Deckenlampe, Deckenleuchte, Hängeleuchte, Pendelleuchte, Badleuchte, Esszimmerlampe, Wohnzimmerlampe",Lindby,Lampenwelt,Besuche den Lindby,,122 x 28 x 23 cm,3.54 kg,,2021-03-25,0.0,0.0,False
17,B00F8DE6YU,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61FaXdQv9dL._AC_UL320_.jpg,"EGLO Pendelleuchte Bolsano, 1 flammige Hängelampe Modern, Hängeleuchte aus Stahl und Glas in Chrom, Weiß, Klar, Esstischlampe, Wohnzimmerlampe hängend mit E27 Fassung","Beleuchtung: 20909
Hängeleuchten & Pendelleuchten: 837",EUR,69.46,4.2,83.0,17.0,0.0,"Die Pendelleuchte aus Stahl in Chrom mit einem dekorativen Lampenschirm aus einem weißen, satinierten Glaskörper, der von klarem Glas umschlossen ist, fügt sich nahtlos in den modernen Trend ein

Die Pendellampe bietet mit ihrem besonderen Design ein Highlight in jedem Raum – egal, ob in der Küche, im Wohnzimmer oder im Esszimmer über dem Esstisch

Kein Leuchtmittel im Lieferumfang enthalten; Die LED Leuchtmittel sind unter EGLO 11931 separat erhältlich

Geeignet für jedes Leuchtmittel mit E27 Sockel, maximal 60 Watt pro Fassung; Dimmbar je nach verwendetem Leuchtmittel

Abmessungen: Höhe: max 130 cm, Durchmesser: 20 cm",EGLO,Kobert-Goods inkl Widerrufsbelehrung-AGB unter Verkaeufer-Hilfe Preise inkl. MwSt.,Besuche den EGLO,,,1.1 kg,,2013-09-12,0.0,1.0,False
18,B09PJ8DP85,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51KUSRyViOL._AC_UL320_.jpg,"36W LED Pendelleuchte esstisch Hängeleuchte Büro 4000K Natural Licht mit OSRAM Chips Büroleuchte Pendellampe aus Aluminum Hängelampe für Arbeitszimmer Esszimmer -120cm (Floodlight, Black)","Beleuchtung: 12966
Hängeleuchten & Pendelleuchten: 408",EUR,89.9,3.4,15.0,,,"Produktabmessungen (Länge x Breite): 120 x 8.5 cmx 3.5 cm Die hochwertigen Drahtseile lassen sich mittels Seitenschneider kürzen oder einfach an der Decke aufrollen. Dadurch können Sie die Abhängellänge der Hängelampe selbst bestimmen.

Die Lichtfarbe der Leuchte ist (4000k). Der Lichtstrom liegt bei Lichtstrom: 2800 Lumen. Die Farbechtheit = Farbwiedergabeindex (CRI): 90 von 100!

Pendelleuchten sind echte Allrounder - Egal ob Wohnzimmer, Schlafzimmer, Küche, Esszimmer, Flur, Kinderzimmer oder im Büro. Das Design sorgt für einen heimische und gemütliche Atmosphäre und wertet jeden Raum auf.

Höhe der Leuchte: 30 cm bis 160 cm (Höhenverstellbar)

Lange Lebensdauer bis zu 50 000 Stunden und bis zu 50 000 Schaltzyklen / Sofort volles Licht, keine Aufwärmzeit / Zertifikat: CE / Hergestellt in der EU",JOYINLED,JOYINLED LTD.,Besuche den JOYINLED,,4 x 9 x 120 cm,2 kg,,2021-12-31,0.0,1.0,False
20,B08X3MW346,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61rcOiT6AiL._AC_UL320_.jpg,"LED Pendelleuchte Esszimmer Lampe Pendellampe Esstischleuchte Rechteckig Braun Wohnzimmer Hängeleuchte Deckenlampe 35W Dimmbar Deckenleuchte Höhenverstellbar Hängelampe, L90*B18cm Kronleuchter","Beleuchtung: 19599
Hängeleuchten & Pendelleuchten: 775",EUR,119.48,3.9,21.0,,,"STUFENLOSES DIMMEN: Pendelleuchte Esstisch kann per Fernbedienung gedimmt werden. Unter Ihrer Kontrolle liegt die Farbtemperatur zwischen 3000 K warmem Licht und 6500 K weißem Licht, die Helligkeit ist zwischen 5% und 100% einstellbar und sie wird kontinuierlich abgedunkelt.

MEMORY FUNKTION: Pendelleuchte Dimmbar haben eine Lichtspeicherfunktion, die sich die Einstellungen merken kann, die Sie vor dem Ausschalten des Lichts vorgenommen haben, ohne dass Sie sie jedes Mal neu einstellen müssen. (Über die Fernbedienung kann deckenlampe led farbwechsel automatisch die letzte Einstellung speichern; bei Verwendung des Netzteils oder Wandschalters bitte das Licht mindestens 30s anlassen, damit die Memory-Funktion greift)

KRONLEUCHTER GRÖSSE: 90 * 3*18cm, Spannung: 230V; Stromverbrauch: 35 W; Lichtleistung: 3150lm; Farbe: braun. Kabellänge: 120 cm. Der höhenverstellbare Kabel macht die Höhe der Leuchte (5-100 cm) leichter einzustellen. Das einzigartige Design ist auffällig, und eignet sich ideal für das moderne Design des Wohnbereichs

PLATZANWENDUNG: Zimmerlampe besitzt eine sehr moderne Wirkung, Diese Deckenlampe ist geeignet für Esstisch, Esszimmer, Küche, Esszimmertisch, Landhaus, Wohnzimmer zu verwenden, können Sie nach Ihren tatsächlichen Bedürfnissen zu wählen.

SERVICE: Wenn Sie irgendeine Fragen zum Produkt haben, können Sie sich gerne an uns wenden und werden wir Ihnen innerhalb von 24 Stunden antworten, bieten Ihnen schnelle und zufriedenstellende Lösungen an.",SENFAY,zhawete,Besuche den SENFAY,,90 x 18 x 3 cm,2.25 kg,,2021-02-21,0.0,1.0,False
21,B008N7AG3S,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61V3O-R6DVS._AC_UL320_.jpg,"Reality Leuchten E Pendelleuchte Nickel E14 opal, weiß R335110307","Beleuchtung: 7300
Hängeleuchten & Pendelleuchten: 168",EUR,51.5,4.5,114.0,,,Kein Leuchtmittel im Lieferumfang enthalten,Reality Leuchten,,,,,1.59 kg,,2013-03-18,,1.0,False
22,B09BYV99BR,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51EH0DZtS8L._AC_UL320_.jpg,"Rrzshop Vintage Hanfseil Hängelampe Pendelleuchte Deckenleuchte, Industrie Hängeleuchte Hanfseillampe Seile Lampe Leuchte Deckenlampe mit E27 Fassung (ohne Birne), für Wohnzimmer Schlafzimmer Flur","Beleuchtung: 3823
Hängeleuchten & Pendelleuchten: 56",EUR,17.99,4.5,59.0,,,,Nethers,Rrzshop,,,20.5 x 14.9 x 6.3 cm,290 g,,2021-12-15,0.0,0.0,False
23,B09VX7Q721,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51Cyw9hj0rL._AC_UL320_.jpg,"da LIGHT LED Deckenlampe 1-flammig, Dreh und Schwenkbar Deckenstrahler Spotleuchte Wandspot, E27 (ohne Leuchenmittel) Retro/Vintage Deckenleuchte 230V Schwarz für Wohnzimmer Schlafzimmer Küchen","Beleuchtung: 8263
Deckenspots: 208",EUR,14.59,4.1,17.0,,,"Retro-Design: Hervorragende Eisenverarbeitung, zylindrischer Strahler und Scheibenfuß mit durchgehend schwarzer Sprühfarbe für einen Vintage-Look.

Drehbar: Der Deckenspot ist durch eine flexible Verbindungsstange mit dem Montagesockel verbunden, so dass Sie die Beleuchtungsrichtung des Wandleuchten nach Belieben einstellen können, was die Einschränkungen des Anwendungsszenarios verringert und Ihren kreativen Raum erweitert.

E27(not inkl.): Dieser Strahler verwendet einen E27-Lampenkopf als Lichtquelle. Und die Lichtquelle kann ersetzt werden, um zu vermeiden, dass die Lichtquelle beschädigt wird und die gesamte Lampe ersetzt werden muss.

Einfache Montage: Für diesen Küchenlampe haben wir Halterungen vorgesehen, die mit dem im Lieferumfang enthaltenen Montagezubehör und unter Beachtung der Anleitung sehr einfach zu installieren sind (für den Anschluss der Kabel sind elektrische Kenntnisse erforderlich).

Qualitativer Service: Wenn es Probleme mit dem Produkt gibt, werden wir eine kostenlose Rückgabe oder Umtausch anbieten. Kaufen Sie mit Vertrauen !",da LIGHT,DA LIGHT,Besuche den da LIGHT,,17 x 11 x 5 cm,280 g,,2022-03-18,1.0,0.0,False
24,B07MDF7KFK,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/514WEOeZQAL._AC_UL320_.jpg,tomons Pendelleuchte Weiß LED Deckenlampe Skandinavisch Moderner Simpler Stil für Wohnzimmer Esszimmer Restaurant,"Beleuchtung: 2983
Hängeleuchten & Pendelleuchten: 40",EUR,49.99,4.5,1043.0,,,"Moderner Stil: Die Lampe ist im klassischen skandinavischen Stil gehalten. Elegante Linien ergänzen frisches Weiß und eine Texturierung in Holzoptik, einfach und doch ansehnlich.

Ausgewählte Materialien: Der weiße Lampenschirm und die in Holzoptik lackierte Fassung sind aus robustem Metall und in hervorragender Qualität gefertigt. Die milchige Lasur des Schirms sorgt für weiche visuelle Effekte.

Einfache Montage: Konstruiert als Leichtgewicht kann diese Lampe schnell und einfach montiert und installiert werden. Die Verbindung zwischen Fassung und Lampenschirm ist verstärkt, für frustfreie und bequeme Montage und Nutzung.

Professionell verpackt: Die Lampe ist behutsam und mit Bedacht verpackt worden, um unerwünschte Beschädigungen während des Transports zu vermeiden, damit Sie eine intakte Lampe erhalten.

Was Sie erhalten: 1 x tomons LP02002 Deckenlampe, 1 x 8 W LED (warmweiß), 1x Betriebsanleitung.",tomons,Inateck,Besuche den tomons,,12.6 x 5.12 x 2.36 cm,1.81 kg,,2018-12-27,0.0,1.0,False
25,B0BF4H82P2,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61oxl3vYw2L._AC_UL320_.jpg,EIDEARAY LED Pendelleuchte Esstisch Hängelampe - Spirale Modern Design Pendellampe 5500K Kaltweiß Esstischlampe Minimalistisch 13W Küchenlampe für Esszimmer Büro Küche Wohnzimmer Arbeitszimmer,"Beleuchtung: 20748
Hängeleuchten & Pendelleuchten: 829",EUR,36.99,4.6,3.0,,,"KREATIVES DESIGN: Die Pendelleuchte ist nicht nur eine moderne und effiziente Beleuchtung, sondern durch ihr geschwungenes Design auch ein Blickfang für modern eingerichtete Räume. und ob sie ein- oder ausgeschaltet sind, Ist ein gutes visuelles Erlebnis.

LED-LICHTQUELLEL: LED-Chip-Lichtquelle, hohe Helligkeit, Energieeinsparung und Umweltschutz, lange Lebensdauer von 50.000 Stunden, bei dem Sie keinen Lampenwechsel kaufen müssen, können Sie etwa 85% der Stromrechnungen einsparen. Energieklasse A ++.

HÖHENVERSTELLBAR: Die Pendelleuchte lässt sich in der Höhe individuell und stufenlos einstellen.Die Höhe kann bis 39.3''/ 100cm frei gewählt werden. die je nach Platzbedarf verstellt werden kann. Ästhetik und Funktionalität verkörpern bei diesem Kronleuchter die perfekte Einheit.

STABILITAT: Der Aufhängungsdraht wurde verdickt und verstärkt, was mehr Gewicht tragen kann, den Lampenkörper stabil hält und der Aufhängungsdraht nicht getrennt wird.

BREITES ANWENDUNGSBEREICH: Es eignet sich für verschiedene orte wie küchen,esstisch,foyer,loft,schlafzimmer und büro.Es ist auch das ideale dekorationsgeschenk für familie und freunde.",EIDEARAY,SMJ/Lighting,Besuche den EIDEARAY,,140 x 12 x 40 cm,620 g,,2022-09-13,0.0,0.0,False
26,B0126N7RS6,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81OzoGlAijL._AC_UL320_.jpg,"Trio Leuchten LED Pendelleuchte Jasmin 303700162, Metall kupferfarbig antik, exkl. 1x E14","Beleuchtung: 13602
Hängeleuchten & Pendelleuchten: 445",EUR,42.08,4.1,156.0,,,Kein Leuchtmittel im Lieferumfang enthalten,Trio Leuchten,,Besuche den Trio Leuchten,,19 x 19 x 150.01 cm,662 g,,2015-07-21,,1.0,False
27,B07VBVMVGW,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71bv0gIE8iL._AC_UL320_.jpg,"EGLO Pendelleuchte Roccaforte, 1 flammige Hängelampe Modern, Hängeleuchte aus Stahl in Schwarz, Gold, Esstischlampe, Wohnzimmerlampe hängend mit E14 Fassung, Ø 17 cm","Beleuchtung: 34866
Hängeleuchten & Pendelleuchten: 1645",EUR,34.95,4.4,29.0,,,"Die Hängelampe aus schwarzem Stahl und einem dekorativen Lampenschirm mit einem geometrischen Cut-Out Muster und einer Innenseite in Gold fügt sich nahtlos in den modernen Trend ein

Wenn die Pendelleuchte eingeschaltet wird, entsteht durch den Lampenschirm ein faszinierendes Zusammenspiel aus Licht und Schatten

Die Pendellampe bietet mit ihrem besonderen Design ein Highlight in jedem Raum – egal, ob in der Küche, im Wohnzimmer oder im Esszimmer über dem Esstisch

Kein Leuchtmittel im Lieferumfang enthalten; Die abgebildeten Leuchtmittel sind unter EGLO 12261 separat erhältlich; Geeignet für jedes Leuchtmittel mit E14 Sockel, maximal 40 Watt pro Fassung; Dimmbar je nach verwendetem Leuchtmittel

Abmessungen: Höhe: max 110 cm, Durchmesser: 17 cm",EGLO LIVING,,Besuche den EGLO LIVING,,17 x 17 x 110 cm,716 g,,2019-07-21,,0.0,False
28,B07BN5YY94,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51aY8UueN7L._AC_UL320_.jpg,Matiere Pendelleuchte Vintage Hängelampe Hängeleuchte Retro Lampenschirm Industrial für E27 Leuchtmittel für Esszimmer Flur Restaurant Keller Untergeschoss 1 Pack,"Beleuchtung: 21303
Hängeleuchten & Pendelleuchten: 858",EUR,42.99,4.3,17.0,,,,ouglres,ouglres,,,13l x 13b x 150h cm,1.14 kg,,2018-03-22,0.0,1.0,False
29,B00O59VFK6,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81E8cVOnAnL._AC_UL320_.jpg,"EGLO Pendelleuchte Campilo, 1 flammige Hängelampe modern, Hängeleuchte aus Textil-Faden und Kunststoff, Esstischlampe in Weiß, Wohnzimmerlampe hängend mit E27 Fassung, Ø 45 cm","Beleuchtung: 31511
Hängeleuchten & Pendelleuchten: 1481",EUR,74.99,4.6,10.0,14.0,0.0,"Die Pendellampe aus weißem Kunststoff mit einem runden Lampenschirm aus gewickeltem Textilfaden in Weiß fügt sich nahtlos in den modernen Trend ein

Die Hängelampe bietet mit ihrem besonderen Design ein Highlight in jedem Raum – egal, ob in der Küche, im Wohnzimmer, Schlafzimmer oder im Esszimmer über dem Esstisch

Kein Leuchtmittel im Lieferumfang enthalten

Geeignet für jedes Leuchtmittel mit E27 Sockel, maximal 60 Watt pro Fassung. Dimmbar je nach verwendetem Leuchtmittel

Abmessungen: Höhe: 110 cm, Durchmesser: 45 cm",EGLO,,Besuche den EGLO,,,309 g,,2012-08-01,,1.0,False
30,B011KP5VJS,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71oPO0+DmlL._AC_UL320_.jpg,"EGLO Pendellampe Priddy, 4 flammige Vintage Pendelleuchte im Industrial Design, Retro Hängelampe aus Stahl, Farbe: Schwarz, weiß, Fassung: E27","Beleuchtung: 1423
Hängeleuchten & Pendelleuchten: 16",EUR,84.99,4.5,1494.0,,,"Die Hängeleuchte ist in einem schlichten matt-schwarz gehalten. Ein toller Kontrast dazu ist das Innere des Lampenschirms in weiß

Die Lampe bietet mit ihrem einfachen Design ein Highlight in jedem Raum – egal, ob Wohnzimmer, Küche oder im Esszimmer über dem Esstisch

Kein Leuchtmittel im Lieferumfang enthalten; Das abgebildete Spiral-Filament Leuchtmittel ist unter EGLO 110075 separat erhältlich

Geeignet für jedes Leuchtmittel mit E27 Sockel, maximale Wattage pro Fassung 60 W; Dimmbar je nach verwendetem Leuchtmittel

Abmessungen: Höhe: max. 110 cm, Länge: 97,5 cm, Breite: 15,5 cm",EGLO LIVING,"Verkauf durch Amazon Warehouse und Versand durch Amazon. Für weitere Informationen, Impressum, AGB und Widerrufsrecht klicken Sie bitte auf den Verkäufernamen.",Besuche den EGLO LIVING,,97.5 x 110 x 110 cm,780 g,,2012-08-01,1.0,1.0,False
31,B094D8BYPH,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51YxS3f5uqL._AC_UL320_.jpg,"LanTing DIY Pendelleuchte Modern Badezimmer Hängelampe Höhenverstellbar, Esszimmer 6 Flammig Spinnenform Der Verstellbare Lampenkörper, Kronleuchter für Wohnzimmer, Ø50cm Silber","Beleuchtung: 29011
Hängeleuchten & Pendelleuchten: 1321",EUR,98.86,4.3,7.0,6.0,0.0,"✿ VERSTELLBAR: Die 6-Flammig-Pendellecuhte hat ein verstellbares Design, Sie können die Form der 6 Lampenarme nach Ihren Wünschen ändern, um sie Ihren Bedürfnissen besser anzupassen und sie frisch zu halten.

✿ Fassung: Der Wohnzimmer-Hängelampe nimmt die Standard-E14-Fassung an, die maximale Unterstützungsleistung beträgt 40 W, verwendbare Leuchtmittel: LED-Lampen/Glühlampen/Kerzenlampen usw. Das Leuchtmittel ist nicht im Lieferumfang enthalten.

✿ Höhenverstellbar: Die Esszimmerleuchte hat einen Aufhängedraht (Kabel) mit einer Länge von 100 cm, und die Länge kann im Bereich von 30-100 cm beliebig eingestellt werden.Lösen Sie einfach die Befestigungsschraube und stellen Sie den Aufhängedraht auf einen geeigneten Wert ein Höhe und ziehen Sie abschließend die Schraube fest.

✿ Größe: Die Esstischlampe hat einen Durchmesser von 50 cm und eine Höhe von 30 cm. Material: Metall. Farbe: Chrom.

✿ Anwendbarer Raum: Moderne Kronleuchter eignen sich für Esstisch, Esszimmer, Wohnzimmer, Büro, Restaurant und andere Szenen.",LanTing,YiKangZe,Besuche den LanTing,,50 x 50 x 30 cm,1 kg,,2021-05-07,0.0,1.0,False
32,B095S61DHK,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61hSsyTqJ4S._AC_UL320_.jpg,LED Birne E27 3W Ersatz für 30W-40W Halogenlampe G45 Kleinen Golf Kugel AC 230V Warmweiß 3000K 360° Abstrahlwinkel E27-Gewinde für Esstischlampe Schreibtischlampe Nicht Dimmbar（3er-Pack）[MEHRWEG],"Beleuchtung: 3950
LED Lampen: 778",EUR,12.99,4.2,68.0,,,"【Globe-LED】 Große Auswahl der Beleuchtung Mit einem weiten 360 ° Winkel，Einheitliche Beleuchtung. Die sofort da ist und helles Licht produziert.

【Spar-Birne】Unsere Glühbirnen energiesparender, kleiner und leichter. 3W ersatz 25W 30W 35W 40W Halogenlampen, ein perfekter Ersatz der traditionellen Lampe für Ihre Heimbeleuchtung.

【Umweltschutz】Kein Blei oder Quecksilber. Keine UV- oder IR-Strahlung. Kein Flimmern. Sicher und gesund zu Hause verwenden. Schnelle Wärmeableitung.

【Einfache Installation】Standard E27 Schraub sockel. Installieren Sie diese Lampen direkt in alle E27 Fassung. Schnelle Einschaltzeit <1sec.

【Weithin Anwendungen】Das 3000 Kelvin Licht ist für den Wohn- und Aufenthaltsbereich geeignet und schafft eine warme und gemütliche Atmosphäre. Kann auch als dekoratives Umgebungslicht verwendet werden.",ASAIHKUN,ASAIHKUN-LED,Besuche den ASAIHKUN,,6.78 x 4.5 x 6.78 cm,95.25 gramm,,2021-05-25,0.0,0.0,False
